ID,name,description,playInstructions,benefits
toys_011,bola bekel,"Bola Bekel adalah permainan tradisional yang menggunakan bola kecil dan beberapa biji bekel yang terbuat dari plastik, kaca, atau kerang. Permainan ini populer di kalangan anak-anak Indonesia, terutama di daerah Jawa dan Bali.",Pemain melempar bola kecil dan kemudian mengambil biji bekel satu per satu dengan tangan. Pemain harus berhati-hati agar bola tidak terjatuh saat mengambil biji bekel.,"Melatih ketelitian, konsentrasi, serta koordinasi tangan dan mata."
toys_012,cublak-cublak suweng,Cublak-cublak Suweng adalah permainan tradisional yang sering dimainkan oleh anak-anak di Jawa. Permainan ini dilakukan dengan duduk berkelompok dan saling berpegangan tangan. Salah satu anggota kelompok berperan sebagai pemimpin yang menyanyikan lagu sambil memegang sesuatu (biasanya batu kecil atau benda lain) yang akan disembunyikan.,"Pemimpin akan menyanyikan lagu ""Cublak-cublak Suweng"" sambil memegang benda kecil dan bergerak dari satu orang ke orang lainnya. Setelah lagu selesai, peserta yang benda tersebut ada di tangannya harus menebak siapa yang menyembunyikan benda tersebut.","Meningkatkan kemampuan sosial dan komunikasi, melatih ingatan, serta memperkenalkan budaya tradisional."
toys_013,bola api,"Bola Api adalah permainan tradisional yang melibatkan bola yang dibakar dengan api. Permainan ini dimainkan di malam hari dan merupakan tradisi yang terdapat di beberapa daerah di Indonesia, terutama di Bali dan Lombok. Bola Api dimainkan dalam acara perayaan tertentu.",Pemain akan mengoper bola yang telah dibakar dengan api di atasnya. Pemain harus berhati-hati agar bola tidak terjatuh atau terbakar.,"Melatih ketangkasan, keberanian, dan kerja sama dalam tim."
toys_014,ondel-ondel,"Ondel-Ondel adalah boneka raksasa yang digunakan dalam pertunjukan tradisional di Betawi, Jakarta. Biasanya, boneka ini dimainkan dalam parade atau acara adat.",Ondel-ondel dimainkan oleh dua orang yang mengenakan kostum besar tersebut. Pemain akan berkeliling dan melakukan gerakan sesuai dengan musik yang mengiringinya.,"Mengajarkan seni dan budaya tradisional, serta memperkenalkan karakter dari Betawi."
toys_015,balap karung,"Balap Karung adalah permainan yang biasa dimainkan pada acara-acara seperti festival atau lomba tradisional di Indonesia. Pemain harus melompat dalam karung besar yang mengikat tubuh mereka. Permainan ini sering dimainkan di daerah Jawa, Bali, dan Sumatra.",Pemain harus masuk ke dalam karung besar dan melompat menuju garis finish. Pemain yang pertama sampai ke garis finish dengan tetap berada dalam karung akan menjadi pemenang.,"Meningkatkan kebugaran fisik, melatih kelincahan, dan kerja sama tim jika dimainkan secara kelompok."
toys_016,gobak sodor,Gobak Sodor adalah permainan tradisional yang berasal dari Indonesia dan dimainkan oleh dua tim. Setiap tim berusaha untuk menembus pertahanan tim lawan dengan cara berlari melewati garis yang dijaga oleh pemain lawan.,"Dua tim bermain, masing-masing dengan beberapa pemain. Pemain dari tim penyerang harus berlari melewati garis yang dijaga oleh tim lawan tanpa tertangkap. Tim yang berhasil menembus garis pertahanan lawan dianggap menang.","Meningkatkan kecepatan, kelincahan, dan kerjasama tim."
toys_017,lompat tali,"Lompat Tali Karet adalah permainan tradisional yang dimainkan dengan menggunakan tali karet panjang. Permainan ini biasa dimainkan oleh anak-anak di Indonesia, terutama pada waktu senggang di halaman atau area terbuka.","Dua orang akan memegang tali karet yang dipasang di kedua kaki mereka, sementara pemain lain akan melompat melewati tali yang sudah diulur. Tali akan diposisikan lebih tinggi seiring berjalannya permainan untuk meningkatkan tingkat kesulitan.","Melatih kelincahan, koordinasi, dan kekuatan kaki."
toys_018,engklek,"Engklek adalah permainan tradisional yang biasa dimainkan oleh anak-anak dengan menggambar pola di tanah atau di papan dan melompat di atas pola tersebut. Permainan ini sangat populer di Indonesia, terutama di kalangan anak-anak.",Pemain akan melemparkan sebuah batu kecil ke dalam pola yang telah digambar dan melompat melewati pola tersebut tanpa menginjak garis atau batu yang dilempar.,"Meningkatkan keseimbangan, ketangkasan, dan kemampuan motorik halus."
toys_019,patok lele,"Patok Lele adalah permainan tradisional yang berasal dari Jawa. Permainan ini dimainkan oleh dua tim, di mana satu tim berusaha untuk memukul patok (tiang) yang dijaga oleh tim lain","Pemain dari tim penyerang berusaha untuk memukul patok yang dijaga oleh tim lawan, sementara tim penjaga berusaha melindungi patok tersebut. Pemain yang berhasil memukul patok atau menghindar dari pukulan akan mendapatkan poin.","Meningkatkan kerja sama tim, kekuatan fisik, dan ketangkasan."
toys_020,ular Naga Panjang,"Ular Naga Panjang adalah permainan tradisional yang dimainkan oleh banyak anak-anak dengan membentuk satu garis panjang yang disebut ""ular"". Pemain yang menjadi kepala ular harus berusaha menangkis atau menghindari pemain yang berusaha menyerang bagian ekor ular.","Anak-anak akan berbaris panjang membentuk ular, dan kepala ular akan berlari ke arah ekor sambil mencoba untuk menangkap anak-anak yang berada di belakang. Tim yang berhasil mempertahankan diri dan tidak tertangkap akan menjadi pemenang.","Meningkatkan kerja sama, kelincahan, dan kekuatan fisik."
toys_021,boi-boian,Boi-boian adalah permainan tradisional yang berasal dari daerah Betawi. Permainan ini dimainkan oleh anak-anak yang berusaha untuk menghindari bola yang dilemparkan oleh pemain lainnya.,Pemain yang memegang bola akan mencoba untuk melempar bola ke pemain lain. Pemain yang berhasil menghindari bola atau menangkap bola akan mendapatkan poin atau giliran melempar bola.,"Meningkatkan kelincahan, kecepatan, dan keterampilan menangkap bola."
toys_022,rangku Alu,"Rangku Alu adalah permainan tradisional yang berasal dari Minangkabau, Sumatra Barat. Permainan ini menggunakan alat berupa alu (alat tradisional untuk menumbuk padi) dan dimainkan oleh dua orang dengan cara melemparkan alu ke dalam lubang yang sudah disediakan.",Pemain akan melemparkan alu ke dalam lubang yang telah disiapkan. Pemain yang berhasil memasukkan alu ke dalam lubang akan mendapatkan poin. Permainan ini menguji ketepatan dan kekuatan lemparan.,Meningkatkan kekuatan tangan dan ketepatan lemparan.
